Class,Variable,Count,Mean,Median,Std,Min,Max,Q1,Q3,IQR,Outlier_Count_IQR
air_conditioner,duration_audio,1000,3.9949279631519277,4.0,0.09312819300633292,2.04,4.0,4.0,4.0,0.0,3
air_conditioner,sample_rate,1000,45367.5,44100.0,1827.575931058347,44100.0,48000.0,44100.0,48000.0,3900.0,0
air_conditioner,audio_samples,1000,181232.823,176400.0,8349.337980485841,97920.0,192000.0,176400.0,192000.0,15600.0,3
air_conditioner,rms_mean,1000,0.058171747723943554,0.051557762548327446,0.04492511568592407,0.001938671455718577,0.24138599634170532,0.019661242607980967,0.08466464281082153,0.06500340020284057,14
air_conditioner,rms_std,1000,0.013648094930707885,0.007746053393930197,0.017170041010452552,6.674406176898628e-05,0.09598613530397415,0.0036824450944550335,0.016899597831070423,0.01321715273661539,81
air_conditioner,zcr_mean,1000,0.05166749392295562,0.036871603260869565,0.04122750566902582,0.0018257472826086957,0.21131669714095744,0.020745863724813542,0.07132240598892085,0.05057654226410731,41
air_conditioner,zcr_std,1000,0.014319906645452612,0.00847240109225426,0.014607586358031808,0.0012002278903774852,0.07443020268636452,0.005391570893293706,0.01592538018695876,0.010533809293665054,109
air_conditioner,spectral_centroid_mean,1000,2653.5402623417667,2232.244613263973,1527.9175991146758,318.84293205619485,9302.891833079699,1802.4025795054868,3065.1169275269795,1262.7143480214927,63
air_conditioner,spectral_centroid_std,1000,342.09357274451344,240.19128016877215,280.44387398105323,50.94628568653093,1796.8139200665241,162.60736877051673,386.21263771871463,223.6052689481979,110
air_conditioner,spectral_bandwidth_mean,1000,3522.673636163503,3507.25968185895,1138.200761027141,978.844185204187,6838.206659960175,2820.3706207896107,4182.813878748094,1362.4432579584832,24
air_conditioner,spectral_bandwidth_std,1000,258.3828827127506,202.25659769303502,182.6702155419181,42.738684360774265,1529.378545613828,146.47955094507375,300.4575541247443,153.97800317967057,83
air_conditioner,spectral_rolloff_mean,1000,5272.203286446894,4523.657863451087,3238.080737581586,195.6712805706522,16861.371858016304,3073.7711234714675,6720.2376407478605,3646.466517276393,51
air_conditioner,spectral_rolloff_std,1000,752.4395435454896,530.948980623427,572.4527515933471,84.80912035812689,5028.912234064267,385.8424573103231,928.458831025528,542.6163737152049,69
air_conditioner,mfcc_1_mean,1000,-281.7213570175171,-260.0563507080078,107.9976601952471,-629.1182861328125,-86.7665786743164,-362.95337677001953,-192.482666015625,170.47071075439453,1
air_conditioner,mfcc_2_mean,1000,158.21643760108947,160.31200408935547,44.912532217626094,23.880876541137695,304.8770446777344,133.26140975952148,185.63944625854492,52.37803649902344,57
