class,duration_audio,sample_rate,audio_samples,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std
air_conditioner,3.9949279631519277,45367.5,181232.823,0.058171747723943554,0.013648094930707885,0.051667493922955623,0.014319906645452612,2653.540262341767,342.0935727445134,3522.673636163503,258.38288271275053,5272.203286446894,752.4395435454896,-281.7213570175171,158.21643760108947,-13.025144028037321,28.99965123219788,-3.6546432696569244,17.74995491183549,-1.2045871646888555,9.787411434687675,0.5820999382063746,6.517074603194371,0.5620834374021506,3.628381952693686,0.28821446213056334,14.639263332605362,9.284621513843536,7.703027766227722,6.14861114859581,5.8364904198646546,5.131278523683548,4.852828205108643,4.8121156523227695,4.940074839353562,4.633813882112503,4.481725945711136,4.4680148735046386,4.286089199066162
car_horn,2.4561234169269883,45493.706293706295,107483.49883449884,0.08731881988458422,0.029919939691885777,0.07676576477418481,0.01854714057404143,2445.202597878044,377.3604884482531,2735.487935161038,363.8448636099336,4393.368786698234,808.339748625424,-246.94725369184445,159.3286484832808,-54.50328380572837,27.826490625513323,-12.247177686168875,11.601004556481376,-11.73119899356143,6.455401919704009,3.354113701626763,-2.4372428400324773,-4.278693190678121,0.8158612173375058,-0.6761232601947613,34.530057703142674,14.866570706134075,12.641423065901359,8.906780852582349,8.423586392458224,6.727701779567834,7.321693430969487,6.307525084568904,5.838020651490538,5.770201544105868,5.726042171736141,5.359947320464608,5.139209609487396
children_playing,3.9620948078486355,45730.718,181237.308,0.03218689555310993,0.015818520715169142,0.058843170789839395,0.019819499123060046,2524.082676058383,488.0865893651464,3220.2859827287652,435.30615205360914,4787.9776353772495,1239.3509591036795,-343.94752961349485,154.68261549448968,-35.25771959214285,16.243407397035508,-2.5475003313487394,6.977856825448573,-2.5883641045952683,6.772274438004009,-1.2736781742519234,1.0672039720546453,2.91020518853073,-0.2451755137881264,0.06069193698093295,32.29564349746704,14.961071237564086,16.483644474506377,11.354377584218978,9.848690397262573,8.903459758758546,8.772434549570084,7.831469308137894,7.461758497953415,7.263448039770126,7.052207220315934,7.032975921630859,6.854940941572189
dog_bark,3.1482807506377553,48428.75,153478.307,0.054856452237581836,0.052424442064628235,0.059432879561775974,0.02491672243291669,2841.2768627987743,921.279881227867,3685.307977782775,926.8707929945379,5466.747412388199,2419.6971459854867,-368.9051470756531,133.2470840024948,-8.931002240486443,-3.2225314084794374,-12.2009732657345,-2.0710859776623547,-4.583811896087602,-1.5101162967626005,-2.7654635445020976,-0.09438762917090207,-0.9122218264583498,1.0625883459434844,0.6123666955479421,68.70987234306335,31.8662032122612,23.031615206718445,16.980153188228606,16.37862534737587,10.70097804236412,9.746216009140015,10.07177315044403,8.982459926366806,8.113228877544403,8.04244809126854,7.7675636234283445,7.2565879416465755
drilling,3.546294725127551,51101.25,184172.009,0.07929120492353105,0.022598013974784406,0.15624955333392024,0.028803491791979448,4533.501571784324,465.5627739007565,3777.4409624600003,277.0318807455239,8349.357741889706,877.7797302343162,-192.45889385795593,113.97369225037471,-56.57821940090694,27.73690308002755,-21.259864185187965,10.579780535809697,-12.344940840844997,5.959679507781751,-5.529749591944739,2.2910255249172913,-2.7738304836023597,0.005672878332436085,-2.953923528992571,44.67310464525223,13.664954958915711,11.131161487102508,8.232401766777038,8.399166852235794,6.53393038034439,6.8132257506847385,5.957257171630859,6.031657783508301,5.380966769695282,5.376897768259049,5.188377309799194,5.174387687444687
engine_idling,3.9359523934240364,49752.3,195691.872,0.09542911692662165,0.015552565709105693,0.03787714918232204,0.008671488742933418,2268.488240039378,346.26757726991394,3172.1825736792525,307.8530173271233,4692.558216033573,799.2383898919451,-271.31445004844664,167.36253324890137,-19.1610341174677,31.903937562584876,-0.17683647185820156,12.672117510860787,4.528354820531822,11.020745147675276,2.7487977884225545,7.942228298291564,0.47348818771727386,5.014223757274449,2.051704581482103,19.219474541664123,10.716634296894073,7.797033926725388,6.233303976297378,5.781039713859558,5.534834810972214,5.304229223489761,4.925878893852234,4.890149731397629,4.639711071968079,4.577554768800735,4.5721678657531735,4.677164183855057
gun_shot,1.647699155230274,53070.32085561498,82097.70588235294,0.10723656605970223,0.08440953328829498,0.05541401192160861,0.03365593416015535,2898.1121916625684,1403.4759931862834,3567.688959892245,1231.1231651582434,5701.39078767656,3232.151054355415,-305.79135941694125,136.30966038117435,-25.93379390202861,8.670610657434931,-7.461032569498062,-0.0675363979516501,-4.171528339306301,-0.13695054003261628,-1.4439211911447147,1.7248776149861316,-1.0500931203948025,-0.09269044212474024,0.48441601485663893,110.32763983476609,38.715659161939975,26.73896589381172,18.150621089068327,13.766536530326395,12.070513495786942,9.418383291698394,8.315159834642461,7.167758334129252,6.423648737331125,6.040519468287096,5.732950981925516,5.204405851542631
jackhammer,3.6107318334041953,56010.3,199902.668,0.07375845194375143,0.016482882099808194,0.10048024339457419,0.019198593387078768,3954.321548479127,460.83479829249575,3851.2148114512906,271.5424541772036,7751.799522200096,878.8106362969846,-191.37799503707885,145.5073555164337,-49.21574551984668,47.7558757853508,-20.06900051764399,16.57762196024507,-2.159533831173554,8.090843961398118,-1.4117748598235194,4.790630859793164,-4.335933330519328,1.8770270876876165,-0.7671591834044084,31.903165355205537,12.748516280174256,9.37456891798973,7.604179726600647,6.964262627601624,6.039263962030411,5.6920267879962925,5.318496495246888,5.1734710876941685,4.981948756694794,5.0351329517364505,4.912441232204437,4.8362114193439485
siren,3.910314003732099,45104.224973089345,176288.37674919268,0.07104387263291484,0.01969779415138706,0.049840402421754935,0.011756879897304347,1934.9032373445682,303.41873255754973,2590.659911516225,358.77068941421345,3221.808882546005,827.8960922258232,-355.0220575034939,170.98406290109756,-30.252768445761514,-3.6895509887851605,-15.165172930305625,2.6008260749918044,4.163460742045631,12.435830678917123,9.435231277715506,3.4409964237176935,-0.5369499306238594,3.459245663210429,4.545728396443626,21.974562483788564,12.74827664455377,11.001085715863626,9.111059694936895,8.509734306705012,8.812208781329629,10.218104222875622,9.660910694925084,9.909861280407407,10.818911012458596,9.845085346788585,9.475189016504359,9.361098234568782
street_music,4.0,45468.6,181874.4,0.07060725899715908,0.02685708322399296,0.05030829482060315,0.015953199006630534,2093.1786886546997,472.0666498191317,2901.8208470899995,449.15325691442894,3979.040034003725,1208.4982008098027,-273.04976042985913,168.30336793136595,-25.22785926790908,23.13717663346231,-5.849421305092052,9.289998281626497,-6.629825835683849,3.4491848069187254,-5.307063934520353,-1.1652274961671791,-2.260694835525472,-1.2645817541833968,-2.562057501336327,29.858812598705292,16.095257178783417,12.687720252037048,9.942098711013793,9.022888116836548,7.967999973297119,7.459517813682556,7.025191431999207,6.805217344284058,6.541993254899979,6.4562675116062165,6.3532868304252625,6.2457781128883365
