class,Frequency,Relative_Frequency,Percent,Mode_Of_Variable
dog_bark,1000,0.11452130096197893,11.452130096197893,air_conditioner
children_playing,1000,0.11452130096197893,11.452130096197893,air_conditioner
air_conditioner,1000,0.11452130096197893,11.452130096197893,air_conditioner
street_music,1000,0.11452130096197893,11.452130096197893,air_conditioner
jackhammer,1000,0.11452130096197893,11.452130096197893,air_conditioner
engine_idling,1000,0.11452130096197893,11.452130096197893,air_conditioner
drilling,1000,0.11452130096197893,11.452130096197893,air_conditioner
siren,929,0.10639028859367843,10.639028859367842,air_conditioner
car_horn,429,0.04912963811268896,4.912963811268896,air_conditioner
gun_shot,374,0.042830966559780116,4.283096655978012,air_conditioner
