Variable,Count,Missing_Count,Mean,Median,Mode,Min,Max,Range,Variance,Standard_Deviation,CV_Percent,Q1_25_Percentile,Q2_50_Percentile,Q3_75_Percentile,IQR,Lower_Bound_IQR,Upper_Bound_IQR,Outlier_Count_IQR
duration_audio,8732,0,3.607521829246337,4.0,4.0,0.05,4.036647314949202,3.9866473149492023,0.9494436662116149,0.9743939994743476,27.010065235777446,4.0,4.0,4.0,0.0,4.0,4.0,1407
sample_rate,8732,0,48456.97927164452,44100.0,44100.0,8000.0,192000.0,184000.0,234092469.63340378,15300.080706761117,31.574565597641858,44100.0,44100.0,48000.0,3900.0,38250.0,53850.0,860
audio_samples,8732,0,173863.51946862118,176400.0,176400.0,2205.0,768000.0,765795.0,5267553473.333375,72577.91312330063,41.74418724820504,176400.0,176400.0,192000.0,15600.0,153000.0,215400.0,2006
rms_mean,8732,0,0.06961373516015709,0.05183398723602295,0.00017559518164489418,0.00017559518164489418,0.7712433934211731,0.7710677982395282,0.004420530226181546,0.06648706811238969,95.50854864981167,0.02411595592275262,0.05183398723602295,0.09245720878243446,0.06834125285968184,-0.07839592336677015,0.19496908807195723,447
rms_std,8732,0,0.025891625407979433,0.01430618716403842,4.1297484131064266e-05,4.1297484131064266e-05,0.3023461699485779,0.3023048724644468,0.0011019301649834953,0.03319533348203472,128.20876618972088,0.006337103433907032,0.01430618716403842,0.03175328392535448,0.02541618049144745,-0.03178716730326414,0.06987755466252565,726
zcr_mean,8732,0,0.07040974260222262,0.050502714756422484,0.039672497735507246,0.0006057518115942029,0.631769707862367,0.6311639560507728,0.004265326427995193,0.06530946660320533,92.75629222530877,0.032294143455615945,0.050502714756422484,0.0817720350506197,0.04947789159500375,-0.041922693936889674,0.15598887244312531,806
zcr_std,8732,0,0.01868404549207617,0.012975381101612624,0.00023667333534033627,0.00023667333534033627,0.38827008081671865,0.3880334074813783,0.00037569559822005195,0.0193828686788115,103.74021347267484,0.00789056013633877,0.012975381101612624,0.022255963792099626,0.014365403655760856,-0.013657545347302515,0.04380406927574091,691
spectral_centroid_mean,8732,0,2839.9909335571506,2348.069843224043,318.84293205619485,318.84293205619485,18673.860820939608,18355.017888883413,2786398.8734689946,1669.2509917531859,58.77663101066356,1756.514844814288,2348.069843224043,3391.1624604263875,1634.6476156120996,-695.4565786038613,5843.133883844537,557
spectral_centroid_std,8732,0,511.32106231811264,356.7510090185043,29.4314612602277,29.4314612602277,18013.89212213612,17984.46066087589,368053.2351374523,606.6739117000601,118.64833201856737,214.52225282498944,356.7510090185043,611.7871422853433,397.26488946035386,-381.3750813655413,1207.684476475874,543
spectral_bandwidth_mean,8732,0,3326.3272840515283,3154.9648669760472,650.5636851185319,650.5636851185319,19421.57503789438,18771.011352775848,1828388.1407076865,1352.1790342656873,40.650811504594586,2412.2955642632614,3154.9648669760472,4086.960647652673,1674.6650833894114,-99.70206082085588,6598.958272736791,123
spectral_bandwidth_std,8732,0,443.880888416036,317.5141370034884,25.196378609703622,25.196378609703622,5351.092404543602,5325.896025933898,200511.26128357262,447.7848381573148,100.87950390367331,202.57773636621403,317.5141370034884,522.7334245080747,320.15568814186065,-277.65579584657695,1002.9669567208657,598
