hr,Count,Rate_Percent
16,730,4.200471833822429
17,730,4.200471833822429
15,729,4.194717762817193
14,729,4.194717762817193
13,729,4.194717762817193
12,728,4.188963691811956
18,728,4.188963691811956
19,728,4.188963691811956
20,728,4.188963691811956
21,728,4.188963691811956
22,728,4.188963691811956
23,728,4.188963691811956
8,727,4.18320962080672
9,727,4.18320962080672
10,727,4.18320962080672
7,727,4.18320962080672
11,727,4.18320962080672
0,726,4.1774555498014845
6,725,4.1717014787962485
1,724,4.165947407791013
5,717,4.125668910754358
2,715,4.114160768743886
4,697,4.010587490649634
3,697,4.010587490649634
