Missing_Datetime
2011-01-02 05:00:00
2011-01-03 02:00:00
2011-01-03 03:00:00
2011-01-04 03:00:00
2011-01-05 03:00:00
2011-01-06 03:00:00
2011-01-07 03:00:00
2011-01-11 03:00:00
2011-01-11 04:00:00
2011-01-12 03:00:00
2011-01-12 04:00:00
2011-01-14 04:00:00
2011-01-18 00:00:00
2011-01-18 01:00:00
2011-01-18 02:00:00
2011-01-18 03:00:00
2011-01-18 04:00:00
2011-01-18 05:00:00
2011-01-18 06:00:00
2011-01-18 07:00:00
2011-01-18 08:00:00
2011-01-18 09:00:00
2011-01-18 10:00:00
2011-01-18 11:00:00
2011-01-19 03:00:00
2011-01-22 05:00:00
2011-01-23 04:00:00
2011-01-24 02:00:00
2011-01-25 03:00:00
2011-01-26 03:00:00
2011-01-26 04:00:00
2011-01-26 18:00:00
2011-01-26 19:00:00
2011-01-26 20:00:00
2011-01-26 21:00:00
2011-01-26 22:00:00
2011-01-26 23:00:00
2011-01-27 00:00:00
2011-01-27 01:00:00
2011-01-27 02:00:00
2011-01-27 03:00:00
2011-01-27 04:00:00
2011-01-27 05:00:00
2011-01-27 06:00:00
2011-01-27 07:00:00
2011-01-27 08:00:00
2011-01-27 09:00:00
2011-01-27 10:00:00
2011-01-27 11:00:00
2011-01-27 12:00:00
2011-01-27 13:00:00
2011-01-27 14:00:00
2011-01-27 15:00:00
2011-01-28 04:00:00
2011-01-29 05:00:00
2011-01-30 06:00:00
2011-02-01 04:00:00
2011-02-03 04:00:00
2011-02-04 04:00:00
2011-02-09 04:00:00
2011-02-10 03:00:00
2011-02-11 03:00:00
2011-02-11 04:00:00
2011-02-13 05:00:00
2011-02-15 03:00:00
2011-02-16 02:00:00
2011-02-20 05:00:00
2011-02-22 00:00:00
2011-02-22 01:00:00
2011-02-22 02:00:00
2011-02-22 03:00:00
2011-02-22 04:00:00
2011-02-22 05:00:00
2011-02-23 04:00:00
2011-02-24 04:00:00
2011-02-25 04:00:00
2011-02-27 05:00:00
2011-02-28 02:00:00
2011-02-28 04:00:00
2011-03-06 05:00:00
2011-03-07 02:00:00
2011-03-10 03:00:00
2011-03-10 04:00:00
2011-03-11 04:00:00
2011-03-13 02:00:00
2011-03-14 04:00:00
2011-03-15 03:00:00
2011-03-16 02:00:00
2011-03-18 04:00:00
2011-03-21 04:00:00
2011-03-23 04:00:00
2011-03-27 05:00:00
2011-03-28 04:00:00
2011-04-11 03:00:00
2011-08-27 18:00:00
2011-08-27 19:00:00
2011-08-27 20:00:00
2011-08-27 21:00:00
2011-08-27 22:00:00
2011-08-27 23:00:00
2011-08-28 00:00:00
2011-08-28 01:00:00
2011-08-28 02:00:00
2011-08-28 03:00:00
2011-08-28 04:00:00
2011-08-28 05:00:00
2011-08-28 06:00:00
2011-09-06 01:00:00
2011-09-08 02:00:00
2011-09-12 03:00:00
2011-10-19 03:00:00
2011-11-28 02:00:00
2011-12-25 04:00:00
2011-12-26 03:00:00
2011-12-28 04:00:00
2012-01-02 03:00:00
2012-01-10 03:00:00
2012-01-17 03:00:00
2012-02-06 03:00:00
2012-02-20 04:00:00
2012-02-21 03:00:00
2012-02-29 04:00:00
2012-03-11 02:00:00
2012-04-02 03:00:00
2012-04-11 04:00:00
2012-10-29 01:00:00
2012-10-29 02:00:00
2012-10-29 03:00:00
2012-10-29 04:00:00
2012-10-29 05:00:00
2012-10-29 06:00:00
2012-10-29 07:00:00
2012-10-29 08:00:00
2012-10-29 09:00:00
2012-10-29 10:00:00
2012-10-29 11:00:00
2012-10-29 12:00:00
2012-10-29 13:00:00
2012-10-29 14:00:00
2012-10-29 15:00:00
2012-10-29 16:00:00
2012-10-29 17:00:00
2012-10-29 18:00:00
2012-10-29 19:00:00
2012-10-29 20:00:00
2012-10-29 21:00:00
2012-10-29 22:00:00
2012-10-29 23:00:00
2012-10-30 00:00:00
2012-10-30 01:00:00
2012-10-30 02:00:00
2012-10-30 03:00:00
2012-10-30 04:00:00
2012-10-30 05:00:00
2012-10-30 06:00:00
2012-10-30 07:00:00
2012-10-30 08:00:00
2012-10-30 09:00:00
2012-10-30 10:00:00
2012-10-30 11:00:00
2012-10-30 12:00:00
2012-11-08 03:00:00
2012-11-29 03:00:00
2012-12-24 04:00:00
2012-12-25 03:00:00
