mnth,Frequency,Relative_Frequency,Percent,Mode_Of_Variable
7,1488,0.08562057655791472,8.562057655791472,5
5,1488,0.08562057655791472,8.562057655791472,5
12,1483,0.08533287300765291,8.533287300765291,5
8,1475,0.08487254732723402,8.487254732723402,5
3,1473,0.08475746590712929,8.47574659071293,5
10,1451,0.08349157028597733,8.349157028597732,5
6,1440,0.08285862247540135,8.285862247540136,5
4,1437,0.08268600034524426,8.268600034524425,5
9,1437,0.08268600034524426,8.268600034524425,5
11,1437,0.08268600034524426,8.268600034524425,5
1,1429,0.08222567466482536,8.222567466482536,5
2,1341,0.07716209218021751,7.716209218021751,5
